description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
Kellogg's Special K Cookies Mini Brownies .74oz,21.0,65.1,0.0,455.0,2.8,4.5,31.5,20.1,41.0,0.0,0.01
Kellogg's Pop-Tarts Peanut Butter 10.5oz,50.0,68.2,0.0,405.0,2.2,6.2,30.5,12.4,10.0,0.0,0.4
Kellogg's Special K Crackers Bbq .87oz,25.0,73.0,0.0,406.0,9.2,5.2,9.0,13.0,35.0,0.0,0.37
Kellogg's Special K Crackers Bbq 1.06oz,30.0,73.0,0.0,406.0,9.2,5.2,9.0,13.0,35.0,0.0,0.37
Kellogg's Special K Cereal Chocolate Delight 13.1oz,31.0,81.3,0.0,379.0,10.6,6.4,30.2,7.2,59.0,68.0,2.26
Kellogg's Special K Cereal Cinnamon Pecan 12.1oz,30.0,81.2,0.0,375.0,10.3,7.5,24.0,6.0,67.0,70.0,2.33
PRINGLES CRISPS MEMPHIS ORIGINAL BBQ 5.96OZ,28.0,57.2,0.0,522.0,2.4,4.5,3.1,30.8,24.0,26.0,0.31
Pringles Tortillas Crisps Nacho Cheese 6.42oz,28.0,58.6,2.0,517.0,2.4,6.2,4.4,29.0,19.0,1.0,0.23
Pringles Tortillas Crisps Zesty Salsa 6.42oz,28.0,59.9,0.0,506.0,2.0,5.6,3.5,27.5,13.0,1.0,0.26
Pringles Crisps Salsa De Chile Habanero 5.96oz,28.0,58.2,0.0,535.0,2.7,4.2,3.2,31.8,25.0,13.0,0.34
Kellogg's Rice Krispies Cereal 1.3oz,37.0,88.3,0.0,382.0,0.7,6.5,10.7,0.6,34.0,45.0,1.52
Kellogg's Raisin Bran Cereal Crunch 18.2oz,53.0,84.9,0.0,354.0,8.0,6.6,35.2,1.8,88.0,2.0,0.94
KELLOGG POP-TARTS PEANUT BUTTER 21.1OZ,50.0,68.2,0.0,405.0,2.2,6.2,30.5,12.4,10.0,0.0,0.4
Keebler Crusts Graham 4oz,20.0,67.2,0.0,498.0,2.4,5.0,26.6,23.2,22.0,0.0,0.06
Keebler Crusts Graham 9oz,26.0,67.2,0.0,498.0,2.4,5.0,26.6,23.2,22.0,0.0,0.06
MURRAY SUGAR FREE OATMEAL COOKIE 5.5OZ,32.0,66.7,5.0,450.0,10.8,6.4,1.2,22.8,10.0,0.0,0.02
MURRAY LEMON CREME 13OZ,29.0,73.9,0.0,477.0,1.3,4.9,36.9,18.3,10.0,0.0,0.02
Morningstar Farms Veggie Burgers Vegi Max 36oz 4ct,85.0,15.3,1.0,170.0,4.1,17.1,1.6,5.9,12.0,0.0,0.02
Sunshine Krispy Crackers Crushed 160oz 1ct,30.0,76.4,0.0,416.0,2.7,10.1,3.0,8.5,22.0,0.0,0.04
Morningstar Farms Veggie Burgers Garden Veggie 3.5oz 48ct,100.0,15.5,2.0,174.0,3.3,16.4,1.7,6.3,12.0,0.0,0.02
Keebler Crusts Graham 144ct,20.0,67.2,0.0,498.0,2.4,5.0,26.6,23.2,22.0,0.0,0.06
Kellogg's Pop-Tarts Orange Crush 14.1oz,50.0,72.4,0.0,392.0,1.2,3.8,31.0,9.7,8.0,0.0,0.4
KELLOGG'S POP-TARTS ROOT BEER 14.1OZ,50.0,72.1,0.0,391.0,1.4,3.9,29.9,9.7,8.0,0.0,0.4
Kellogg's Pop-Tarts Strawberry 22oz,52.0,71.6,0.0,398.0,1.4,4.2,26.1,10.6,7.0,0.0,0.38
Kellogg's Pop-Tarts Frosted Cherry 22oz,52.0,73.0,0.0,390.0,1.2,3.7,31.4,9.5,9.0,0.0,0.02
Kellogg's Pop-Tarts Frosted Blueberry 22oz,52.0,73.1,0.0,390.0,1.2,3.7,31.6,9.4,9.0,0.0,0.38
Kellogg's Pop-Tarts Pumpkin Pie 21.1oz,50.0,71.3,2.0,394.0,1.4,4.4,28.6,10.4,34.0,1.0,0.4
Kellogg's Pop-Tarts Chocolate Fudge 22oz,52.0,71.7,0.0,383.0,2.0,4.8,36.8,9.1,25.0,0.0,0.02
Kellogg's Krave Cereal Smores 11oz,31.0,76.4,0.0,401.0,9.4,7.3,31.7,10.9,32.0,48.0,1.61
Kellogg's Eggo Waffles Homestyle 1.23oz 144ct,70.0,39.1,10.0,256.0,1.2,6.1,2.6,8.7,17.0,0.0,0.26
KELLOGG EGGO WAFFLES HOMESTYLE 1.23OZ 120CT,70.0,39.1,10.0,257.0,1.2,6.1,2.6,8.7,17.0,0.0,0.57
Pringles Crisps Bbq 5.5oz,28.0,58.0,0.0,525.0,2.5,4.4,4.3,30.7,24.0,13.0,0.31
Kellogg's Pringles Crisps Lightly Salted Original 5.2oz,28.0,56.9,0.0,535.0,2.6,4.3,1.3,32.5,25.0,28.0,0.33
Pringles Crisps Pizza 5.5oz,28.0,56.7,1.0,524.0,2.6,4.5,3.0,31.1,25.0,13.0,0.31
Kellogg's Pringles Crisps Ranch 5.5oz,28.0,56.6,1.0,526.0,2.4,4.8,2.4,31.3,24.0,27.0,0.31
Kellogg's Pringles Crisps Jalapeno 5.5oz,28.0,56.1,0.0,519.0,2.6,4.5,2.5,30.9,24.0,13.0,0.31
Kellogg's Pringles Crisps Honey Mustard 5.5oz,28.0,57.8,0.0,526.0,2.4,4.3,4.6,31.0,24.0,13.0,0.31
Kellogg's Pringles Crisps French Onion Dip 5.5oz,28.0,56.2,1.0,531.0,2.4,4.8,2.4,32.1,23.0,26.0,0.33
Kellogg's Pringles Crisps Loaded Baked Potato 5.5oz,28.0,56.7,1.0,525.0,2.4,4.5,2.3,31.4,24.0,27.0,0.31
Kellogg's Pringles Crisps Memphis Original Bbq 5.5oz,28.0,57.2,0.0,522.0,2.4,4.5,3.1,30.8,24.0,26.0,0.31
Kellogg's Pringles Crisps Reduced Fat Original 4.9oz,28.0,62.5,0.0,498.0,2.7,4.6,1.5,25.8,27.0,30.0,0.35
Kellogg's Pringles Crisps Cheddar & Sour Cream 5.5oz,28.0,56.7,1.0,524.0,2.4,4.4,3.0,31.4,24.0,26.0,0.31
Kashi Crunchy Bars Andean Inspired Savory 1.05oz,30.0,66.2,0.0,452.0,12.6,10.4,9.1,17.2,39.0,60.0,0.06
Kashi Organic Cereal Promise Autumn Wheat 16.3oz,60.0,78.7,0.0,334.0,11.2,11.8,12.4,1.4,118.0,0.0,0.28
SUNSHINE CHEEZ-IT PEPPER JACK 12.4OZ,30.0,61.1,5.0,498.0,2.6,9.9,1.8,24.6,20.0,43.0,0.06
SUNSHINE CADDIES CHEEZ-IT ORIGINAL 20OZ,28.0,57.4,1.0,507.0,2.4,11.4,0.5,26.3,15.0,0.0,0.03
Morningstar Farms Meal Solutions Griller Burger Recipe 12oz,50.0,8.3,0.0,135.0,5.6,18.5,1.1,4.3,16.0,0.0,0.84
Keebler Club Crackers Original 12.5oz,14.0,66.1,0.0,490.0,1.8,5.8,8.8,22.5,15.0,0.0,0.0
"KELLOGG EGGO SAVORY BACON, EGG & CHEESE MEDLEYS 33.5OZ",95.0,24.3,122.0,250.0,1.8,11.4,8.0,11.9,7.0,0.0,0.06
KELLOGG EGGO WAFFLES CHOCOLATEY CHOCOLATE CHIP 10.7OZ,76.0,45.3,23.0,295.0,1.3,6.0,12.2,10.2,19.0,0.0,0.53
Keebler Cracker Packs Toast & Peanut Butter 1.8oz,51.0,61.5,0.0,490.0,2.5,9.3,13.2,23.3,37.0,0.0,0.09
Morningstar Farms Veggie Burgers Tomato & Basil Pizza 9.5oz,67.0,14.0,10.0,161.0,9.1,15.5,2.6,8.6,23.0,0.0,0.04
PRINGLES CRISPS ORIGINAL 12.6OZ,28.0,56.5,0.0,543.0,2.5,4.3,1.3,33.4,25.0,13.0,0.33
Keebler Cracker Packs Pb'N J 1.8oz,51.0,65.3,0.0,485.0,1.8,7.3,16.5,22.0,23.0,0.0,0.05
Kellogg's Eggo French Toast Chocolate Chip 3.03oz,86.0,40.7,0.0,242.0,4.4,5.3,12.2,6.5,61.0,0.0,0.2
Kellogg's Pringles Crisps Cheeseburger 5.5oz,28.0,56.5,1.0,522.0,2.5,4.6,2.5,30.9,24.0,13.0,0.31
Kellogg's Pop-Tarts Frosted Blueberry 14.7oz,52.0,73.1,0.0,390.0,1.2,3.7,31.6,9.4,9.0,0.0,0.38
Kellogg's Pop-Tarts Frosted Brown Sugar Cinnamon 14oz,50.0,69.2,0.0,414.0,1.3,4.3,30.3,13.7,14.0,0.0,0.4
Kellogg's Pop-Tarts Frosted Smores 14.7oz,52.0,69.3,0.0,385.0,1.7,5.6,36.3,9.7,28.0,0.0,0.38
Kellogg's Pop-Tarts Chocolate Fudge 14.7oz,52.0,71.1,0.0,382.0,2.0,4.8,36.1,9.1,25.0,0.0,0.38
Sunshine Cheez-It Crackers Cheddar 1.48oz,42.0,57.5,6.0,492.0,1.2,10.1,5.9,25.0,10.0,0.0,0.02
Sunshine Cheez-It Crackers Italian Cheese 1.48oz,42.0,57.8,6.0,494.0,1.2,9.8,8.0,25.2,10.0,0.0,0.02
Kellogg's Eggo Pancakes Buttermilk .65oz 1ct,111.0,39.6,9.0,247.0,0.9,5.0,10.9,7.9,13.0,0.0,0.36
PRINGLES CRISPS CHEESEBURGER 5.96OZ,28.0,56.5,1.0,522.0,2.5,4.6,2.5,30.9,24.0,13.0,0.31
Kellogg's Special K Granola Bars Dark Chocolate .95oz,27.0,63.3,0.0,407.0,15.1,16.1,26.2,10.4,37.0,0.0,0.74
Kellogg's Special K Granola Bars Chocolate Peanut Butter .95oz,27.0,63.0,0.0,406.0,15.0,16.3,26.4,10.4,30.0,0.0,0.74
Kellogg's Special K Granola Bars Greek Yogurt & Fruit .95oz,27.0,63.8,0.0,392.0,14.8,15.3,25.8,9.0,17.0,0.0,0.74
Pringles Crisps Bbq 2.5oz,28.0,58.0,0.0,524.0,2.4,4.4,4.3,30.7,24.0,27.0,0.31
KELLOGG SPECIAL K PROTEIN BARS CHOCOLATEY DIPPED MINT 15.9OZ,45.0,54.9,32.0,415.0,10.0,18.8,32.4,13.3,4.0,1.0,0.89
KELLOGG SPECIAL K PROTEIN BARS CHOCOLATEY BROWNIE 15.9OZ,45.0,54.6,31.0,405.0,10.3,18.9,33.3,12.9,29.0,1.0,0.89
Kellogg's Pop-Tarts Sugar Cookies 21.2oz,50.0,70.8,0.0,396.0,1.3,4.5,27.7,10.7,8.0,0.0,0.4
Kellogg's Rice Krispies Treats Squares Original M&M Minis 2.1oz,60.0,76.3,1.0,421.0,0.5,3.3,38.0,11.5,11.0,0.0,0.04
Kellogg's Pop-Tarts Frosted Strawberry 3.67oz,104.0,73.1,0.0,390.0,1.2,3.7,31.7,9.4,9.0,0.0,0.38
Kellogg's Pop-Tarts Frosted Brown Sugar Cinnamon 3.52oz,100.0,69.2,0.0,414.0,1.3,4.3,30.3,13.7,14.0,0.0,0.4
Keebler Cones Honey Roll Sugar 800ct,12.0,85.3,0.0,405.0,1.7,6.4,30.1,4.9,14.0,0.0,0.03
KELLOGG LOW FAT GRANOLA WITHOUT RAISINS 37.5LB 1CT,49.0,80.9,0.0,389.0,7.0,8.7,28.3,5.7,68.0,6.0,4.08
Kellogg's Corn Pops Cereal 1.5oz,42.0,90.4,0.0,385.0,0.8,3.9,30.0,1.2,28.0,20.0,1.67
Kellogg's Froot Loops Cereal In A Cup 1.5oz,42.0,87.7,0.0,367.0,11.0,5.5,34.5,3.7,35.0,52.0,1.72
Morningstar Farms Breakfast Sausage Patties 1.34oz 112ct,38.0,10.2,1.0,186.0,2.9,23.6,1.3,7.0,17.0,0.0,0.53
Keebler Simply Made Cookies Chocolate Chip Thins 6oz,28.0,69.2,50.0,497.0,2.0,4.7,32.4,22.8,15.0,0.0,0.0
Kellogg's Special K Cereal Low Fat Granola 2.5oz,70.0,76.9,0.0,386.0,9.5,11.8,17.5,5.5,76.0,0.0,1.35
Keebler Simply Made Cookies Lemon Delight Thins 6oz,28.0,70.3,66.0,491.0,1.3,4.8,31.9,21.6,0.0,1.0,0.0
Pringles Crisps Snack Stacks Lightly Salted Cheddar Cheese .74oz,21.0,57.0,1.0,530.0,2.5,4.5,2.8,31.7,24.0,13.0,0.31
Pringles Crisps Cheddar Cheese 6.56oz,28.0,55.7,1.0,529.0,2.4,4.4,3.1,32.2,24.0,13.0,0.3
PRINGLES CRISPS CHEDDAR CHEESE 5.96OZ,28.0,55.7,1.0,529.0,2.4,4.4,3.1,32.2,24.0,13.0,0.3
Pringles Crisps Cheddar Cheese 5.96oz,28.0,55.7,1.0,529.0,2.4,4.4,3.1,32.2,24.0,13.0,0.3
Pringles Crisps Cheddar Cheese 5.96oz,28.0,55.7,1.0,529.0,2.4,4.4,3.1,32.2,24.0,13.0,0.3
Kellogg's Special K Cereal Low Fat Granola 11.3oz,52.0,76.9,0.0,386.0,9.5,11.8,17.5,5.5,76.0,0.0,1.35
Famous Amos Cookies Chocolate Chip 3oz,29.0,68.2,6.0,499.0,3.5,4.4,31.8,23.8,39.0,0.0,0.03
Keebler Town House Flatbread Crisps Tomato Basil 9.5oz,15.0,73.2,0.0,446.0,2.9,8.8,5.5,13.3,25.0,2.0,0.04
Keebler Town House Flatbread Crisps Spinach Artichoke 9.5oz,15.0,73.3,0.0,446.0,2.9,8.6,5.1,13.4,25.0,1.0,0.04
Pringles Crisps Original 2.3oz,28.0,56.5,0.0,531.0,2.5,4.3,1.3,32.3,25.0,28.0,0.33
Pringles Crisps Sour Cream & Onion 2.5oz,28.0,57.2,1.0,523.0,2.4,4.4,2.8,31.0,24.0,26.0,0.31
Pringles Crisps Cheddar Cheese 2.5oz,28.0,55.8,1.0,527.0,2.4,4.7,3.1,32.0,22.0,26.0,0.32
Kellogg's Apple Jacks Cereal In A Cup 1.5oz,42.0,87.8,0.0,370.0,11.0,5.2,35.7,3.7,28.0,54.0,1.79
Kellogg's Frosted Flakes Cereal In A Cup 2.1oz,60.0,88.2,0.0,369.0,2.2,5.4,34.5,0.3,28.0,21.0,1.72
Kellogg's Pop-Tarts Frosted Strawberry 29.3oz,52.0,72.8,0.0,393.0,1.3,4.0,31.4,9.7,6.0,0.0,0.38
KELLOGG POP-TARTS FROSTED STRAWBERRY SLURPEE 3.67OZ,104.0,72.9,0.0,392.0,1.2,3.8,31.0,9.5,8.0,0.0,0.38
KELLOGG FROSTED FLAKES ENERGY CLUSTERS 2.2OZ,62.0,82.0,0.0,376.0,2.6,10.2,34.0,1.9,21.0,12.0,1.2
SUNSHINE CHEEZ-IT CHEDDAR LOCO .75OZ,21.0,66.1,9.0,462.0,6.2,11.1,1.0,17.3,52.0,1.0,0.04
Keebler Fudge Shoppe Cookies Pumpkin Spice 11.5oz,28.0,68.4,1.0,512.0,1.8,3.2,35.2,25.6,12.0,0.0,0.03
Kellogg's Other Licensed Fruit Pieces Juicy Juice .8oz,22.0,75.3,0.0,318.0,0.3,3.3,51.8,0.3,0.0,192.0,0.0
Kellogg's Fruit Pieces Non-Licensed Strawberry 17.6oz,22.0,75.4,0.0,317.0,0.2,3.3,51.7,0.2,0.0,273.0,0.0
KELLOGG FRUIT PIECES NON-LICENSED STRAWBERRY .8OZ,22.0,75.4,0.0,317.0,0.2,3.3,51.7,0.2,0.0,273.0,0.0
Kashi Crackers Fire Roasted Vegetable 9oz,30.0,67.9,0.0,401.0,9.1,12.0,7.1,12.1,88.0,4.0,0.25
Kashi Golean Cereal Crunch 13.8oz,53.0,71.4,0.0,367.0,14.5,16.7,24.0,5.9,82.0,1.0,0.03
Kashi Organic Cereal Promise Island Vanilla 16.3oz,59.0,78.8,0.0,333.0,10.7,11.1,15.8,1.4,111.0,0.0,0.26
Kashi Organic Cereal Strawberry Fields 10.3oz,55.0,83.5,0.0,358.0,5.0,9.4,20.5,0.7,43.0,19.0,0.1
Sunshine Cheez-It Crackers Cheddar Ranch 3.25oz,29.0,65.7,7.0,480.0,1.5,9.9,1.8,19.7,14.0,1.0,0.02
Sunshine Cheez-It Crackers Sharp White Cheddar 3.25oz,29.0,65.2,8.0,483.0,1.3,9.7,2.7,20.3,14.0,0.0,0.02
Sunshine Cheez-It Crackers Reduced Fat 1.5oz,42.0,67.2,1.0,447.0,2.0,13.1,0.8,14.5,19.0,0.0,0.07
Sunshine Cheez-It Crackers White Cheddar 1.5oz,42.0,61.4,5.0,502.0,1.9,9.1,1.3,24.4,20.0,0.0,0.03
Sunshine Krispy Crackers Original 16oz,15.0,76.7,0.0,422.0,2.4,7.8,0.7,9.4,20.0,0.0,0.0
Sunshine Right Bites Cheez-It Crackers Party Mix .74oz,21.0,68.2,1.0,453.0,3.7,11.3,2.1,14.9,36.0,0.0,0.02
Sunshine Cheez-It Crackers Snack Mix Original 10.5oz,30.0,66.0,1.0,457.0,2.4,10.2,1.8,16.9,11.0,0.0,0.02
Sunshine Cheez-It Crackers Pepper Jack 3oz,30.0,61.1,5.0,498.0,2.6,9.9,1.8,24.6,20.0,43.0,0.06
Sunshine Cheez-It Crackers Pepper Jack 7oz,30.0,61.1,5.0,498.0,2.6,9.9,1.8,24.6,20.0,43.0,0.06
Sunshine Cheez-It Crackers Duoz Sharp Cheddar/Parmesan 12.4oz,30.0,60.2,3.0,504.0,1.9,9.8,1.3,25.0,19.0,0.0,0.03
Sunshine Cheez-It Crackers Duoz Cheddar/Baby Swiss 4.3oz,30.0,60.7,3.0,502.0,2.0,10.1,1.8,24.8,18.0,0.0,0.03
Mother's Cookies Chocolate Chip 12oz,30.0,67.1,33.0,492.0,2.1,5.7,31.9,22.3,28.0,0.0,0.02
Morningstar Farms Poultry Parmesan Garlic 10oz,85.0,24.1,1.0,227.0,3.1,14.2,1.3,8.6,34.0,0.0,0.14
MORNINGSTAR FARMS VEGGIE BURGERS SPICY BLACK BEAN 50.8OZ,120.0,18.1,1.0,158.0,6.8,14.1,1.9,5.8,35.0,0.0,0.05
Keebler Fudge Shoppe Cookies Fudge Sticks Original 8.5oz,29.0,68.9,0.0,530.0,1.3,2.6,53.0,27.3,19.0,0.0,0.01
Keebler Danish Wedding Cookies 12oz,32.0,68.5,0.0,506.0,2.6,3.7,38.0,24.2,20.0,0.0,0.04
Keebler Simply Made Cookies Peanut Butter Chocolate Chip 10oz,27.0,57.2,14.0,512.0,4.2,9.3,30.9,28.4,23.0,0.0,0.0
KEEBLER TOWN HOUSE SEA SALT 28.5OZ,15.0,71.0,0.0,448.0,2.0,8.8,3.7,16.0,12.0,0.0,0.02
KEEBLER THEATER PACKS COOKIES COOKIE DOUGH MINIS CHOCOLATE CHIP 2.5OZ,29.0,66.1,1.0,459.0,1.2,4.1,31.3,19.9,13.0,0.0,0.02
KEEBLER SIMPLY MADE COOKIES CHOCOLATE CREME 10OZ,28.0,71.6,23.0,479.0,2.6,4.1,41.8,20.3,32.0,0.0,0.0
KEEBLER CLUB CRACKERS ORIGINAL 37.5OZ,14.0,66.1,0.0,490.0,1.8,5.8,8.8,22.5,15.0,0.0,0.0
Keebler Club Crackers Original 50oz,14.0,66.1,0.0,490.0,1.8,5.8,8.8,22.5,15.0,0.0,0.0
Keebler Iced Animal Cookies Frosted 2oz,56.0,70.4,0.0,508.0,1.4,2.9,40.9,24.3,7.0,0.0,0.02
Keebler Animal Crackers Cookies Elfin Original 2.12oz,30.0,83.1,1.0,414.0,1.9,5.6,25.7,7.3,0.0,2.0,0.0
Keebler Cracker Packs Cheese & Cheddar 1.8oz,51.0,60.8,4.0,500.0,1.3,7.6,13.0,25.5,12.0,1.0,0.02
Keebler Fudge Shoppe Cookies Coconut Dreams 8.5oz,28.0,60.9,2.0,507.0,3.3,3.9,34.4,27.9,31.0,0.0,0.05
Kellogg's Pop-Tarts Frosted Strawberry 58.6oz,52.0,73.1,0.0,390.0,1.2,3.7,31.7,9.4,9.0,0.0,0.38
Kellogg's Eggo Waffles Homestyle 12.3oz,70.0,39.1,10.0,256.0,1.2,6.1,2.6,8.7,17.0,0.0,0.26
Pringles Crisps Bbq 6.56oz,28.0,58.0,0.0,525.0,2.5,4.4,4.3,30.7,24.0,13.0,0.31
Kellogg's Special K Cereal Bars Dark Chocolate Pomegranate .88oz,25.0,78.2,0.0,388.0,3.4,5.0,30.7,7.0,16.0,2.0,0.02
Pringles Crisps Bbq 4.62oz,28.0,58.0,0.0,525.0,2.5,4.4,4.3,30.7,24.0,13.0,0.31
KELLOGG EGGO WAFFLES HOMESTYLE 86.4OZ,70.0,39.1,10.0,257.0,1.2,6.1,2.6,8.7,17.0,0.0,0.57
Kellogg's Eggo Waffles Homestyle 12.3oz,70.0,39.1,10.0,256.0,1.2,6.1,2.6,8.7,17.0,0.0,0.26
Kellogg's Eggo Waffles Homestyle 29.6oz,70.0,39.1,10.0,256.0,1.2,6.1,2.6,8.7,17.0,0.0,0.26
Kellogg's Eggo Waffles Original Thick & Fluffy 11.6oz,55.0,36.4,16.0,287.0,1.0,5.5,4.5,13.6,16.0,0.0,0.4
Kellogg's Eggo Waffles Thick & Fluffy Original 23.2oz,55.0,36.4,16.0,287.0,1.0,5.5,4.5,13.6,16.0,0.0,0.4
Pringles Crisps Bbq 5.96oz,28.0,58.0,0.0,525.0,2.5,4.4,4.3,30.7,24.0,13.0,0.31
Pringles Crisps Pizza 5.96oz,28.0,56.7,1.0,524.0,2.6,4.5,3.0,31.1,25.0,13.0,0.31
Kellogg's Nutri-Grain Cereal Bars Blueberry 1.55oz,44.0,67.8,0.0,358.0,6.5,5.1,31.6,8.9,40.0,0.0,1.36
Kellogg's Eggo Waffles Cinnamon Toast 2.64oz,75.0,46.5,0.0,272.0,5.0,5.8,13.7,6.9,65.0,0.0,0.25
Kellogg's Eggo Waffles Maple 2.64oz,75.0,46.9,0.0,266.0,4.7,5.5,13.6,6.7,58.0,0.0,0.24
Kellogg's Rice Krispies Cereal Brown Rice Whole Grain 1oz,28.0,82.4,0.0,371.0,2.7,7.8,3.7,2.3,149.0,50.0,1.67
Kellogg's Froot Loops Cereal Reduced Sugar 1oz,28.0,86.6,0.0,389.0,6.2,6.4,28.4,4.1,40.0,54.0,1.79
Kellogg's Apple Jacks Cereal Reduced Sugar 1oz,28.0,86.6,0.0,389.0,6.4,6.3,28.7,4.2,40.0,54.0,1.79
Kellogg's Frosted Flakes Cereal Multi Grain Cinnamon 1oz,28.0,86.3,0.0,358.0,8.3,7.9,22.6,1.4,87.0,54.0,1.79
KELLOGG SPECIAL K HOT CEREAL MAPLE BROWN SUGAR 1.83OZ,52.0,62.1,0.0,371.0,9.3,15.4,22.0,9.9,115.0,23.0,0.77
KELLOGG SPECIAL K HOT CEREAL CRANBERRY ALMOND 1.83OZ,52.0,63.3,0.0,361.0,9.3,15.0,22.4,8.4,115.0,23.0,0.77
FAMOUS AMOS DOUBLE CHOCOLATE CHIP 84OZ,56.0,64.1,0.0,504.0,3.8,5.4,29.5,25.9,59.0,0.0,0.03
Famous Amos Cookies Double Chocolate Chip 12.4oz,29.0,64.4,1.0,507.0,3.9,4.8,29.7,26.3,52.0,1.0,0.0
Famous Amos Cookies Double Chocolate Chip 2oz,56.0,64.1,0.0,504.0,3.8,5.4,29.5,25.9,59.0,0.0,0.03
Famous Amos Cookies Double Chocolate Chip 3oz,29.0,64.1,0.0,504.0,3.8,5.4,29.5,25.9,59.0,0.0,0.03
Keebler Crusts Reduced Fat Graham 6oz,21.0,72.6,0.0,470.0,2.5,5.3,29.4,17.6,23.0,0.0,0.06
Austin Crackers Cheese With Peanut Butter 37.2oz,39.0,61.4,0.0,486.0,2.5,9.5,11.0,22.9,38.0,0.0,0.09
Austin Crackers Toasty Original 6.5oz,30.0,68.3,0.0,472.0,1.7,7.4,9.2,19.0,15.0,0.0,0.03
Murray Sugar Free Cookies Pecan Shortbread 5.5oz,32.0,57.4,9.0,525.0,1.8,5.8,0.9,33.7,17.0,0.0,0.03
MEIJER PRIVATE LABEL COOKIES BUTTER 9OZ,30.0,75.7,0.0,459.0,1.6,5.3,27.5,15.3,0.0,0.0,0.0
PFG PRIVATE LABEL COOKIES HOLIDAY SUGAR 9OZ,30.0,76.2,0.0,460.0,1.7,5.5,26.0,15.1,0.0,0.0,0.0
MURRAY DUPLEX CREMES 13OZ,29.0,72.6,0.0,475.0,1.8,4.9,37.6,18.9,23.0,0.0,0.02
MURRAY VANILLA 13OZ,29.0,73.9,0.0,477.0,1.3,4.9,36.9,18.3,10.0,0.0,0.02
MURRAY CHOCOLATE CREME 13OZ,29.0,71.3,0.0,473.0,2.2,4.9,38.4,19.4,36.0,0.0,0.02
Murray Sugar Free Cookies Lemon Creme 6.5oz,28.0,68.3,0.0,469.0,3.3,4.9,1.2,23.9,10.0,0.0,0.04
Murray Sugar Free Cookies Shortbread 6oz,30.0,72.8,1.0,446.0,1.1,5.8,0.4,17.7,11.0,0.0,0.02
Murray Sugar Free Cookies Vanilla 9oz,30.0,69.5,0.0,504.0,0.8,3.2,0.8,26.6,7.0,0.0,0.01
Bear Naked Cereal All Natural Fit Triple Berry 12oz,30.0,75.6,0.0,403.0,9.4,11.5,11.3,6.3,120.0,9.0,0.22
Bear Naked Cereal All Natural Fit Vanilla Almond 12oz,30.0,72.6,0.0,415.0,8.5,11.5,12.4,8.8,104.0,0.0,0.14
Bear Naked Cereal Honey Almond Protein 11.2oz,30.0,48.6,0.0,470.0,8.6,18.7,18.4,25.0,88.0,0.0,0.16
BEAR NAKED H&W BARS CHOCOLATE CHIP PEANUT BUTTER 2OZ,57.0,54.5,0.0,443.0,7.1,14.1,24.5,20.6,97.0,0.0,0.0
BEAR NAKED H&W BARS PEANUT BUTTER 2OZ,57.0,51.1,0.0,446.0,7.2,15.9,20.6,22.1,89.0,0.0,0.0
BEAR NAKED H&W BARS MAPLE 2OZ,57.0,52.4,0.0,454.0,7.3,15.5,20.9,22.0,56.0,0.0,0.01
BEAR NAKED H&W BARS ALMOND CRANBERRY 2OZ,57.0,54.8,0.0,434.0,8.1,15.3,26.0,18.7,62.0,0.0,0.01
BEAR NAKED CEREAL CACAO CASHEW 1.2OZ,34.0,63.5,0.0,461.0,6.2,10.1,21.3,19.7,52.0,0.0,0.01
Bear Naked Bites Dark Chocolate Sea Salt 7.2oz,38.0,57.1,0.0,426.0,9.1,11.5,21.6,20.7,138.0,0.0,0.13
Bear Naked Bites Peanut Butter Honey 7.2oz,38.0,53.2,0.0,441.0,8.9,14.9,15.0,22.6,145.0,0.0,0.0
Bear Naked Cereal Chocolate Granola 12oz,30.0,69.8,0.0,427.0,8.1,9.4,22.0,12.7,113.0,0.0,0.18
Bear Naked Cereal All Natural Granola Fruit & Nut 48oz,30.0,65.0,0.0,476.0,8.2,10.2,22.6,19.8,82.0,0.0,0.15
Keebler Little Brownie Baker Cookies Thin Mint 512oz 1ct,32.0,67.1,0.0,501.0,2.3,4.4,30.7,24.0,32.0,0.0,0.02
Pringles Crisps Cheddar Cheese 5.5oz,28.0,55.7,1.0,529.0,2.4,4.4,3.1,32.2,24.0,13.0,0.3
Keebler Licensed Crackers Disney Frozen 1.06oz,30.0,73.6,0.0,450.0,5.4,7.7,25.7,15.6,54.0,0.0,0.12
SUNSHINE CHEEZ-IT ORIGINAL 42OZ,30.0,57.0,1.0,511.0,1.9,11.5,0.5,26.4,19.0,0.0,0.03
Sunshine Cheez-It Crackers White Cheddar 67.5oz,42.0,61.4,5.0,502.0,1.9,9.1,1.3,24.4,20.0,0.0,0.03
Kellogg's Pringles Crisps Lightly Salted Cheddar Cheese 5.5oz,28.0,57.0,1.0,530.0,2.5,4.5,2.8,31.7,24.0,13.0,0.31
Kellogg's Pop-Tarts Cookies & Creme 21.1oz,50.0,69.7,0.0,378.0,2.3,4.7,38.9,9.6,12.0,0.0,0.4
